Airport;closest_city_name;closest_city_code
Berlin-Schönefeld  ;Berlin;11000
Berlin-Tegel       ;Berlin;11000
Bremen             ;Bremen;04011
Dortmund           ;Dortmund;05913
Dresden            ;Dresden;14612
Düsseldorf         ;Düsseldorf;05111
Erfurt             ;Erfurt;16051
Frankfurt/Main     ;Frankfurt;06412
Friedrichshafen    ;Bodenseekreis;08435
Hahn               ;Rhein-Hunsrück-Kreis;07140
Hamburg            ;Hamburg;02000
Hannover           ;Hannover;03241
Karlsruhe/Baden-B. ;Karlsruhe;08212
Köln/Bonn          ;Köln;05315
Leipzig/Halle      ;Leipzig;14713
Memmingen          ;Memmingen;09764
München            ;München;09162
Münster/Osnabrück  ;Münster;05515
Niederrhein        ;Kleve;05154
Nürnberg           ;Nürnberg;09564
Paderborn/Lippstadt;Paderborn;05774
Rostock-Laage      ;Rostock;16003
Saarbrücken        ;Saarbrücken;10041
Stuttgart          ;Stuttgart;08111
